Ω,V,Rate Function
0,0,0
0.190537594,0,0.001040319
0.381075189,0,0.004161913
0.571612783,0,0.0093667
0.762150378,0,0.016657883
0.952687972,0,0.026039959
1.143225567,0,0.037518728
1.333763161,0,0.05110132
1.524300756,0,0.066796205
1.71483835,0,0.084613227
1.905375944,0,0.104563625
2.095913539,0,0.126660074
2.286451133,0,0.15091672
2.476988728,0,0.177349223
2.667526322,0,0.205974812
2.858063917,0,0.236812328
3.048601511,0,0.269882292
3.239139105,0,0.305206977
3.4296767,0,0.342810472
3.620214294,0,0.382718768
3.810751889,0,0.424959842
4.001289483,0,0.469563769
4.191827078,0,0.516562821
4.382364672,0,0.565991586
4.572902267,0,0.617887103
4.763439861,0,0.672288987
4.953977455,0,0.729239619
5.14451505,0,0.788784299
5.335052644,0,0.85097144
5.525590239,0,0.915852778
5.716127833,0,0.983483605
5.906665428,0,1.053923026
6.097203022,0,1.127234237
6.287740617,0,1.203484827
6.478278211,0,1.282747167
6.668815805,0,1.365098754
6.8593534,0,1.450622659
7.049890994,0,1.539408001
7.240428589,0,1.631550486
7.430966183,0,1.727153004
7.621503778,0,1.826326309
7.812041372,0,1.929189773
8.002578966,0,2.035872223
8.193116561,0,2.146512956
8.383654155,0,2.261262827
8.57419175,0,2.380285494
8.764729344,0,2.503758865
8.955266939,0,2.631876751
9.145804533,0,2.764850771
9.336342128,0,2.902912554
9.526879722,0,3.046316309
9.717417316,0,3.19534181
9.907954911,0,3.350297868
10.09849251,0,3.511526553
10.2890301,0,3.679408089
10.47956769,0,3.854366702
10.67010529,0,4.036877687
10.86064288,0,4.227475958
11.05118048,0,4.426766464
11.24171807,0,4.635437008
11.43225567,0,4.854274152
11.62279326,0,5.084182996
11.81333086,0,5.326212704
12.00386845,0,5.581588644
12.19440604,0,5.851754428
12.38494364,0,6.138427262
12.57548123,0,6.443672065
12.76601883,0,6.770002579
12.95655642,0,7.120521819
13.14709402,0,7.499123406
13.33763161,0,7.910785494
13.52816921,0,8.362016454
13.7187068,0,8.861556011
